eval_id,x1,y1,x2,y2,x3,y3,angle,objective_value,max_stress,geometry_valid,stress_valid,fem_valid,failure_reason,best_feasible_objective_so_far
86,14.10630862,39.60501665,37.13963919,37.98006541,24.11401259,36.78006198,43.17784734,,,False,False,False,circle 1 to capsule clearance is -11.712 mm; minimum is 1.000 mm,
87,28.15651844,33.36190186,22.98814675,27.20916065,13.10105344,41.19933553,82.43150484,,,False,False,False,capsule edge clearance is -1.090 mm; minimum is 2.000 mm,
88,25.03124038,37.80075001,18.0511254,29.13682564,35.31165627,29.75976457,49.53991872,,,False,False,False,circle 1 to circle 2 clearance is -3.874 mm; minimum is 1.000 mm,
89,30.67976975,29.49095587,48.78680662,35.28771134,30.65855261,25.3261697,61.5145691,,,False,False,False,circle 1 to capsule clearance is -14.495 mm; minimum is 1.000 mm,
90,19.93187769,16.33351797,19.79599064,51.35745473,29.9940509,13.2881736,78.98036031,,,False,False,False,capsule edge clearance is -6.481 mm; minimum is 2.000 mm,
91,46.93699444,31.92833348,33.40628766,30.60896533,21.07614516,22.24268603,60.17601957,,,False,False,False,circle 1 to circle 2 clearance is -1.405 mm; minimum is 1.000 mm,
92,47.51594623,13.56575378,27.23504009,47.56361107,12.42064513,37.86956551,67.9637596,,,False,False,False,capsule edge clearance is 0.231 mm; minimum is 2.000 mm,
93,28.92736191,23.00757398,48.38841235,30.91180884,23.04702311,17.64832214,23.47508149,,,False,False,False,circle 1 to capsule clearance is -9.242 mm; minimum is 1.000 mm,
94,39.5094726,45.85554815,30.40193728,19.58245652,37.09260086,33.88780015,35.13439717,,,False,False,False,circle 1 to capsule clearance is -5.322 mm; minimum is 1.000 mm,
95,15.43187731,47.17750031,25.87276115,14.42394678,19.37405968,26.52460799,62.78665247,,,False,False,False,circle 1 to capsule clearance is -6.800 mm; minimum is 1.000 mm,
96,16.99970256,14.7705442,22.465201,22.52678021,41.01306034,17.05431252,70.25676931,,,False,False,False,capsule edge clearance is -2.211 mm; minimum is 2.000 mm,
97,17.87819992,24.58201588,16.98541702,11.93113115,33.82502918,28.57723597,66.31132088,,,False,False,False,circle 1 to circle 2 clearance is -2.318 mm; minimum is 1.000 mm,
98,47.12012076,23.26324063,36.33500406,24.0000841,42.10623188,20.20243679,55.10019899,,,False,False,False,circle 1 to circle 2 clearance is -4.190 mm; minimum is 1.000 mm,
99,22.44311879,43.19981794,37.70543087,36.41791632,21.79697383,20.75264864,48.15916276,,,False,False,False,circle 1 to capsule clearance is -0.587 mm; minimum is 1.000 mm,
100,21.6531054,46.31421913,31.41899115,50.33241618,14.89909395,16.68249475,83.15228368,,,False,False,False,capsule edge clearance is -3.228 mm; minimum is 2.000 mm,
101,35.7222415,32.38728279,45.89831278,51.98146839,14.07130393,37.40251341,34.45080975,,,False,False,False,capsule edge clearance is -3.736 mm; minimum is 2.000 mm,
102,29.32581387,38.76873324,27.8371545,34.9647358,38.22619491,30.25671244,5.156282651,,,False,False,False,capsule edge clearance is 1.824 mm; minimum is 2.000 mm,
103,45.67943552,29.94637741,10.24326225,48.39447689,29.28110589,29.13091088,33.6689274,,,False,False,False,circle 1 to capsule clearance is -6.705 mm; minimum is 1.000 mm,
104,21.45241222,42.25633641,18.87737122,15.16849444,14.56320384,21.49135007,7.66576283,,,False,False,False,capsule edge clearance is -5.325 mm; minimum is 2.000 mm,
105,48.82389725,17.14922273,24.42506827,45.81027464,27.07242785,16.25192291,59.1105565,,,False,False,False,capsule edge clearance is -1.975 mm; minimum is 2.000 mm,
106,42.92812026,27.46938289,46.80254479,17.47800888,34.65081894,35.83831042,54.13202979,,,False,False,False,circle 1 to circle 2 clearance is -4.284 mm; minimum is 1.000 mm,
107,36.48257149,21.08083577,38.8890066,44.7080806,17.98806,27.0054862,9.971288454,,,False,False,False,capsule edge clearance is -1.823 mm; minimum is 2.000 mm,
108,32.76082559,26.25997778,31.49219455,19.92559797,27.97514187,30.83928514,71.70356285,,,False,False,False,circle 1 to circle 2 clearance is -8.540 mm; minimum is 1.000 mm,
109,32.01070437,31.22017899,50.26257972,9.262214342,44.2408369,14.9371337,22.95763509,,,False,False,False,capsule edge clearance is -3.251 mm; minimum is 2.000 mm,
110,39.09134965,24.70140344,47.31772178,41.00226177,43.03131926,39.4187083,1.928932894,,,False,False,False,capsule edge clearance is -3.024 mm; minimum is 2.000 mm,
111,31.46180829,15.69079991,51.17189815,13.14348044,23.80795822,45.10391125,41.24626607,,,False,False,False,capsule edge clearance is -0.845 mm; minimum is 2.000 mm,
112,16.33174733,36.64075549,40.57442341,21.21408725,20.21100615,20.07456083,47.09919516,,,False,False,False,circle 1 to capsule clearance is -7.763 mm; minimum is 1.000 mm,
113,23.6483129,16.78382742,51.50183434,15.90291227,43.55972573,43.17710082,14.7595549,,,False,False,False,capsule edge clearance is -3.147 mm; minimum is 2.000 mm,
114,42.72922991,19.732662,30.14841997,36.77495214,32.61016769,47.77467672,51.82915997,,,False,False,False,capsule edge clearance is -5.102 mm; minimum is 2.000 mm,
115,48.15016755,31.7430597,11.76149672,18.78610802,24.90797507,45.87385965,18.96504206,,,False,False,False,circle 1 to capsule clearance is -1.275 mm; minimum is 1.000 mm,
116,41.91314876,48.50973381,15.67583921,49.20218949,39.25490604,33.32540874,69.55757319,,,False,False,False,circle 1 to capsule clearance is -8.665 mm; minimum is 1.000 mm,
117,33.41207588,12.78039559,24.88519951,35.92898353,15.51877154,32.45993606,16.49127183,,,False,False,False,capsule edge clearance is -3.967 mm; minimum is 2.000 mm,
118,41.60043952,19.47730382,16.77788728,12.62185388,47.10765339,38.64615789,74.04069805,,,False,False,False,capsule edge clearance is 1.836 mm; minimum is 2.000 mm,
119,45.3198478,39.9687935,19.48956345,8.443577083,42.5141497,44.5291306,30.57835341,,,False,False,False,capsule edge clearance is -0.776 mm; minimum is 2.000 mm,
120,13.12244006,18.42134225,34.314811,41.71920402,44.06059899,30.2142004,84.70071908,,,False,False,False,circle 2 to capsule clearance is -4.858 mm; minimum is 1.000 mm,
121,33.98435515,39.28802135,8.46163943,39.70100194,17.17750296,46.47211205,86.22951166,,,False,False,False,capsule edge clearance is -6.445 mm; minimum is 2.000 mm,
122,38.48525487,37.00565167,21.00006527,42.43251018,15.90288522,17.9034683,78.22495177,,,False,False,False,capsule edge clearance is -1.833 mm; minimum is 2.000 mm,
123,16.03033816,26.15776103,21.76990769,21.92105884,38.50699846,41.76504527,13.6486103,,,False,False,False,capsule edge clearance is 1.846 mm; minimum is 2.000 mm,
124,26.03451265,11.16771987,12.53191583,50.15046513,18.69127097,27.78730214,10.43326093,,,False,False,False,capsule edge clearance is -1.102 mm; minimum is 2.000 mm,
125,12.70707575,43.60227283,15.35661519,47.28346066,33.1738738,14.27540794,17.72983498,,,False,False,False,circle 1 to circle 2 clearance is -10.464 mm; minimum is 1.000 mm,
126,38.34592637,34.10991296,34.58757243,48.81093274,13.47243444,22.96339459,76.41763316,,,False,False,False,circle 1 to circle 2 clearance is 0.174 mm; minimum is 1.000 mm,
127,40.71396136,28.45801421,42.57902663,39.34625991,26.83004917,35.05070013,56.3354676,,,False,False,False,circle 1 to circle 2 clearance is -3.953 mm; minimum is 1.000 mm,
128,12.01259074,33.22487439,23.65493253,33.08746809,44.81982553,34.11158151,79.80329363,,,False,False,False,circle 1 to circle 2 clearance is -3.357 mm; minimum is 1.000 mm,
129,11.41730834,35.32585777,14.72585815,23.71134074,41.67494899,38.23843706,57.39391259,,,False,False,False,circle 1 to circle 2 clearance is -2.923 mm; minimum is 1.000 mm,
130,17.23696707,34.62968198,12.92781569,40.46035219,30.90177009,32.72638673,73.2540266,,,False,False,False,circle 1 to circle 2 clearance is -7.750 mm; minimum is 1.000 mm,
131,13.8132343,42.8819698,49.36969211,13.65760798,40.7354026,24.50780067,28.43393486,,,False,False,False,capsule edge clearance is 0.773 mm; minimum is 2.000 mm,
132,33.13539382,29.20290405,38.10177037,46.37922885,29.09991298,25.74451753,26.76034412,,,False,False,False,circle 1 to capsule clearance is -11.595 mm; minimum is 1.000 mm,
133,24.16554166,48.4271094,28.8801338,27.72427479,12.60567215,43.77865588,87.16210221,,,False,False,False,capsule edge clearance is -3.763 mm; minimum is 2.000 mm,
134,37.23744354,47.71015179,29.23695589,10.92997237,25.10471783,15.77863036,53.44203076,,,False,False,False,capsule edge clearance is -1.762 mm; minimum is 2.000 mm,
135,28.41178712,46.57028475,43.93550206,24.77309064,32.06183692,28.04545221,20.91257412,,,False,False,False,circle 1 to capsule clearance is -0.498 mm; minimum is 1.000 mm,
136,46.37707213,44.6998522,49.86560875,43.95648211,36.30063211,18.3839121,40.60730689,,,False,False,False,circle 1 to circle 2 clearance is -11.433 mm; minimum is 1.000 mm,
137,27.32251478,22.56997115,13.45652679,33.79443408,19.15642442,39.11886216,16.23002076,,,False,False,False,capsule edge clearance is -0.345 mm; minimum is 2.000 mm,
138,25.27926459,35.29106821,9.685220906,25.42548277,39.85423942,42.54899454,32.4393071,,,False,False,False,circle 1 to capsule clearance is -2.556 mm; minimum is 1.000 mm,
139,14.81673841,44.21199737,43.11223366,28.66798419,45.32831942,46.97465227,39.24054007,,,False,False,False,capsule edge clearance is -2.510 mm; minimum is 2.000 mm,
140,31.02022987,41.89123265,25.54388308,16.94580331,46.93058789,32.05699215,3.072000847,,,False,False,False,capsule edge clearance is -6.913 mm; minimum is 2.000 mm,
141,44.31347719,14.13667229,26.55313814,9.94669679,34.39198756,13.71462943,11.72561182,,,False,False,False,circle 1 to capsule clearance is -14.070 mm; minimum is 1.000 mm,
142,26.67825716,11.76104768,9.024257487,20.50807864,27.81769879,19.47091683,25.61372761,,,False,False,False,circle 1 to capsule clearance is -9.055 mm; minimum is 1.000 mm,
143,35.85191007,40.68214933,17.85274511,18.52431996,19.86986505,31.50989123,81.80745028,,,False,False,False,circle 1 to capsule clearance is 0.626 mm; minimum is 1.000 mm,
144,43.82042892,22.14540678,46.54382894,22.85557432,46.13533092,41.307129,51.30134896,,,False,False,False,capsule edge clearance is -1.451 mm; minimum is 2.000 mm,
